,review,sentiment
0,One reviewer mentioned after watching Oz episode ll hooked They right this exactly happened The first thing struck about Oz it brutality unflinching scene violence set right word GO Trust this not show the faint hearted timid This show pull punch regard drug sex violence Its hardcore the classic use the word It called OZ the nickname given the Oswald Maximum Security State Penitentary It focus mainly Emerald City experimental section the prison all the cell glass front face inwards privacy not high the agenda Em City home many Aryans Muslims gangsta Latinos Christians Italians Irish scuffle death stare dodgy dealing shady agreement never far away I would say the main appeal the show due the fact that go other show t dare Forget pretty picture painted mainstream audience forget charm forget romance OZ t mess around The first episode I ever saw struck me a nasty it surreal I t say I wa ready it a I watched more I developed taste Oz got accustomed the high level graphic violence Not violence injustice crooked guard ll sold for nickel inmate ll kill order get away it well mannered middle class inmate turned prison bitch due their lack street skill prison experience Watching Oz may become comfortable what uncomfortable viewing thats you get touch your darker side,positive
1,A wonderful little production The filming technique unassuming very old time BBC fashion give comforting sometimes discomforting sense realism entire piece The actor extremely well chosen Michael Sheen only got polari he all voice pat You truly see seamless editing guided reference Williams diary entry only it well worth the watching it a terrificly written performed piece A masterful production one the great master comedy his life The realism really come home the little thing the fantasy the guard rather use the traditional dream technique remains solid disappears It play our knowledge our sens particularly the scene concerning Orton Halliwell the set particularly of their flat Halliwell mural decorating every surface terribly well done,positive
2,I thought wonderful way spend time hot summer weekend sitting air conditioned theater watching light hearted comedy The plot simplistic dialogue witty the character likable even the well bread suspected serial killer While may disappointed they realize Match Point Risk Addiction I thought proof Woody Allen is still fully control the style many u grown love This wa the I laughed one Woody comedy year dare I say decade While I never impressed Scarlet Johanson this managed tone her sexy image jumped right a average spirited young woman This may be the crown jewel his career it wa wittier Devil Wears Prada more interesting Superman a great comedy go see friend,positive
3,Basically s family little boy Jake think s zombie closet his parent fighting time This movie slower soap opera suddenly Jake decides become Rambo kill zombie OK first going make film you must Decide it thriller drama As a drama movie watchable Parents divorcing arguing like real life And we Jake his closet totally ruin all the film I expected see a BOOGEYMAN similar movie instead watched a drama some meaningless thriller spot of the well playing parent descent dialog As for the shot Jake ignore,negative
4,Petter Mattei Love Time Money visually stunning film watch Mr Mattei offer u a vivid portrait human relation This a movie seems be telling u money power success people different situation encounter This a variation Arthur Schnitzler play theme director transfer the action the present time New York different character meet connect Each one connected one way another the next person no one seems know the previous point contact Stylishly the film a sophisticated luxurious look We taken to see people live the world live their habitat The thing one get all these soul the picture the different stage loneliness one inhabits A big city not exactly the best place which human relation find sincere fulfillment one discerns the case most the people encounter The acting good Mr Mattei direction Steve Buscemi Rosario Dawson Carol Kane Michael Imperioli Adrian Grenier the rest of the talented cast make these character come alive We wish Mr Mattei good luck await anxiously his next work,positive
5,Probably time favorite movie story selflessness sacrifice dedication a noble cause not preachy boring It never get old despite having seen it some time last year Paul Lukas performance brings tear my eye Bette Davis one few truly sympathetic role a delight The kid a grandma say more like dressed midget child that make more fun watch And the mother slow awakening what happening the world under her own roof believable startling If I a dozen thumb d all be for movie,positive
6,I sure would like see resurrection dated Seahunt series tech today would bring back the kid excitement I grew on black white TV Seahunt Gunsmoke hero every week You have my vote a comeback a new sea hunt We need a change pace TV would work a world under water adventure Oh the way thank for outlet like view many viewpoint TV the many movie So ole way I believe I got I wan na say Would nice read more plus point sea hunt If my rhyme would line would let submit leave out to be doubt have me to quit If this is then I must go let it,positive
7,This show an amazing fresh innovative idea when first aired The first year brilliant thing dropped after By show not really funny anymore continued decline complete waste time today It truly disgraceful far show fallen The writing painfully bad performance almost bad not mildly entertaining respite guest host show probably t still the air I find so hard believe the creator hand selected the original cast also chose the band hack followed How one recognize brilliance then see fit to replace with mediocrity I felt I must give star of respect the original cast made show a huge success As is the show is just awful I t believe it s still on the air,negative
8,Encouraged positive comment film here I looking forward watching film Bad mistake I seen film this truly one worst them awful almost every way editing pacing storyline acting soundtrack the film s song lame country tune played le four time The film look cheap nasty boring the extreme Rarely I so happy see the end credit film The thing prevents giving this a score Harvey Keitel this is far his best performance at least seems be making a bit an effort One Keitel obsessive only,negative
9,If like original gut wrenching laughter like movie If are young old you will love movie hell even mom liked Great Camp,positive
10,Phil Alien one those quirky film humour based around oddness everything rather actual punchlines At first wa odd pretty funny a movie progressed I t find the joke oddness funny anymore Its low budget film thats never problem itself were pretty interesting character eventually I lost interest I imagine film would appeal a stoner is currently partaking For something similar better try Brother another planet,negative
11,I saw movie I came I recall scariest scene big bird eating men dangling helplessly parachute right air The horror The horror As young kid going these cheesy B film Saturday afternoon I still tired the formula these monster type movie usually included the hero beautiful woman might the daughter of a professor a happy resolution the monster died the end I t care much the romantic angle a year old the predictable plot I love now the unintentional humor But about a year so later I saw Psycho it came I loved the star Janet Leigh bumped early the film I sat and took notice that point Since screenwriter making the story make it up be scary possible and not a well worn formula There no rule,negative
